Feature,No. Missing,Missing Type,Possible Reason,Imputation,
LotFrontage,259,At random,Unknown,Mode ,
Alley,1369,Not at random,No alley access,None ,
MasVnrType,8,At random,Unknown,Mode,
MasVnrArea,8,Not at random,MasVnrType,Zero,
BsmtQual,37,Not at random,No basement,Mode,
BsmtCond,37,Not at random,No basement,Mode,
BsmtExposure,38,Not at random,No basement,Mode,
BsmtFinType1,37,Not at random,No basement,Mode,
BsmtFinType2,38,Not at random,No basement,Mode,
Electrical,1,At random,Unknown,Mode,
FireplaceQu,690,Not at random,No Fireplace,None ,
GarageType,81,Not at random,No Garage,None ,
GarageYrBlt,81,Not at random,No Garage,Zero,
GarageFinish,81,Not at random,No Garage,Mode,
GarageQual,81,Not at random,No Garage,Mode,
GarageCond,81,Not at random,No Garage,Mode,
PoolQC,1453,Not at random,No Pool,Mode,
Fence,1179,Not at random,No  fence,None ,
MiscFeature,1406,Not at random,No  misce features,None ,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
